Age,Attrition,BusinessTravel,Department,DistanceFromHome,EmployeeNumber,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
45,No,Travel_Rarely,Research & Development,1,336,Male,Manager,4,Married,19202,No,25,3,24,0,1,7
31,No,Travel_Frequently,Research & Development,3,337,Male,Research Director,3,Divorced,13675,No,9,3,2,2,2,2
33,No,Travel_Rarely,Research & Development,5,338,Female,Research Scientist,4,Married,2911,No,2,2,2,2,0,2
34,No,Travel_Rarely,Research & Development,2,339,Male,Manufacturing Director,1,Married,5957,No,13,3,11,9,5,9
37,No,Travel_Rarely,Research & Development,1,340,Female,Research Scientist,1,Married,3920,No,17,2,3,1,0,2
45,No,Travel_Frequently,Research & Development,7,341,Male,Manufacturing Director,3,Married,6434,No,9,3,3,2,0,2
37,Yes,Travel_Frequently,Research & Development,10,342,Male,Manufacturing Director,3,Divorced,10048,No,17,3,1,0,0,0
39,No,Travel_Frequently,Research & Development,2,343,Female,Healthcare Representative,3,Single,10938,No,20,3,19,6,11,8
29,No,Travel_Rarely,Research & Development,15,346,Male,Research Scientist,4,Single,2340,No,6,3,6,5,1,5
42,No,Travel_Rarely,Research & Development,17,347,Female,Research Scientist,1,Single,6545,Yes,10,3,3,2,0,2
29,No,Travel_Rarely,Sales,20,349,Male,Sales Executive,4,Divorced,6931,No,10,3,3,2,0,2
25,No,Travel_Rarely,Research & Development,1,350,Female,Manufacturing Director,3,Married,4898,No,5,3,4,2,1,2
42,No,Travel_Rarely,Research & Development,2,351,Female,Laboratory Technician,1,Divorced,2593,Yes,10,3,9,6,7,8
40,No,Travel_Rarely,Research & Development,2,352,Male,Research Director,3,Divorced,19436,No,22,3,21,7,3,9
51,No,Travel_Rarely,Research & Development,1,353,Male,Research Scientist,4,Married,2723,No,1,2,1,0,0,0
31,Yes,Travel_Frequently,Research & Development,29,355,Male,Laboratory Technician,2,Single,3479,No,6,4,5,4,1,4
32,No,Travel_Frequently,Research & Development,7,359,Male,Laboratory Technician,2,Married,2794,No,5,1,5,1,0,3
38,No,Non-Travel,Sales,2,361,Male,Sales Executive,4,Married,5249,No,13,3,8,7,7,5
32,No,Travel_Rarely,Research & Development,2,362,Male,Laboratory Technician,1,Single,2176,No,9,3,6,2,0,4
46,No,Travel_Rarely,Sales,2,363,Female,Manager,2,Married,16872,Yes,28,2,7,7,7,7
28,Yes,Travel_Rarely,Research & Development,2,364,Male,Laboratory Technician,3,Single,3485,No,5,1,0,0,0,0
29,No,Travel_Rarely,Sales,2,366,Male,Sales Executive,2,Married,6644,No,10,3,0,0,0,0
31,No,Travel_Rarely,Research & Development,23,367,Male,Healthcare Representative,4,Married,5582,No,10,3,9,0,7,8
25,No,Non-Travel,Research & Development,5,369,Male,Healthcare Representative,1,Divorced,4000,No,6,3,6,3,1,5
45,No,Travel_Rarely,Research & Development,20,372,Male,Healthcare Representative,4,Married,13496,Yes,21,3,20,7,4,10
36,No,Travel_Rarely,Research & Development,6,373,Male,Laboratory Technician,4,Married,3210,No,16,3,15,13,10,11
55,No,Travel_Rarely,Research & Development,1,374,Male,Manager,1,Single,19045,Yes,37,3,36,10,4,13
47,Yes,Non-Travel,Research & Development,29,376,Male,Manager,2,Married,11849,Yes,10,2,10,7,9,9
28,No,Travel_Rarely,Research & Development,9,377,Male,Research Scientist,4,Married,2070,No,5,2,5,2,0,4
37,No,Travel_Rarely,Sales,6,378,Male,Sales Executive,4,Married,6502,No,7,4,5,4,0,1
21,No,Travel_Rarely,Research & Development,3,379,Male,Research Scientist,3,Single,3230,No,3,4,3,2,1,0
37,No,Non-Travel,Research & Development,1,380,Female,Research Director,4,Divorced,13603,Yes,15,3,5,2,0,2
35,No,Travel_Rarely,Research & Development,22,381,Female,Manager,2,Divorced,11996,No,10,2,7,7,6,2
38,No,Travel_Rarely,Sales,7,382,Female,Sales Executive,1,Divorced,5605,Yes,8,3,8,0,7,7
26,No,Travel_Frequently,Research & Development,1,384,Female,Manufacturing Director,2,Divorced,6397,No,6,1,6,5,1,4
50,No,Travel_Rarely,Research & Development,4,385,Male,Research Director,2,Divorced,19144,No,28,2,10,4,1,6
53,No,Travel_Rarely,Research & Development,3,386,Male,Research Director,3,Married,17584,Yes,21,2,5,3,1,3
42,No,Travel_Rarely,Sales,1,387,Male,Sales Executive,3,Married,4907,No,20,3,20,16,11,6
29,No,Travel_Frequently,Sales,2,388,Male,Sales Executive,4,Single,4554,No,10,2,10,7,0,9
55,No,Travel_Rarely,Research & Development,20,389,Male,Laboratory Technician,4,Married,5415,Yes,12,3,10,7,0,8
26,No,Travel_Frequently,Research & Development,11,390,Male,Healthcare Representative,1,Married,4741,Yes,5,3,5,3,3,3
37,No,Travel_Rarely,Research & Development,1,391,Female,Research Scientist,4,Single,2115,No,17,3,17,12,5,7
44,Yes,Travel_Frequently,Research & Development,24,392,Male,Laboratory Technician,3,Divorced,3161,Yes,19,1,1,0,0,0
38,No,Travel_Rarely,Research & Development,23,393,Male,Healthcare Representative,4,Divorced,5745,No,10,3,2,2,1,2
26,Yes,Travel_Rarely,Research & Development,16,394,Male,Laboratory Technician,2,Divorced,2373,Yes,5,3,3,2,0,2
28,No,Travel_Rarely,Research & Development,8,395,Female,Research Scientist,4,Single,3310,No,5,3,5,3,0,2
49,No,Travel_Frequently,Research & Development,10,396,Female,Research Director,1,Single,18665,Yes,22,3,3,2,1,2
36,No,Travel_Rarely,Research & Development,3,397,Male,Research Scientist,2,Single,4485,No,10,3,8,0,7,7
31,No,Travel_Frequently,Sales,5,399,Female,Sales Representative,2,Divorced,2789,No,2,2,2,2,2,2
26,Yes,Travel_Rarely,Sales,4,401,Male,Sales Executive,4,Single,5828,Yes,8,3,8,7,7,4
37,No,Travel_Frequently,Research & Development,9,403,Male,Research Scientist,4,Married,2326,Yes,4,2,4,2,1,2
42,No,Travel_Frequently,Sales,26,404,Female,Sales Executive,2,Married,13525,No,23,4,20,4,4,8
18,Yes,Travel_Rarely,Research & Development,3,405,Male,Laboratory Technician,3,Single,1420,No,0,3,0,0,0,0
35,No,Travel_Rarely,Sales,16,406,Male,Sales Executive,2,Married,8020,No,12,2,11,9,6,9
36,No,Travel_Frequently,Research & Development,18,407,Male,Laboratory Technician,4,Married,3688,No,4,3,1,0,0,0
51,No,Travel_Rarely,Research & Development,2,408,Male,Manufacturing Director,2,Divorced,5482,No,13,3,4,1,1,2
41,No,Travel_Rarely,Sales,2,410,Male,Manager,2,Single,16015,No,22,3,22,10,0,4
18,No,Travel_Rarely,Sales,10,411,Female,Sales Representative,3,Single,1200,No,0,3,0,0,0,0
28,No,Travel_Rarely,Research & Development,16,412,Male,Healthcare Representative,1,Single,5661,No,9,3,8,3,0,7
31,No,Travel_Rarely,Sales,7,416,Male,Sales Executive,4,Married,6929,No,10,2,8,7,7,7
39,No,Travel_Rarely,Research & Development,1,417,Male,Healthcare Representative,4,Divorced,9613,No,19,2,18,10,3,7
36,No,Non-Travel,Research & Development,24,419,Female,Laboratory Technician,2,Married,5674,No,11,3,9,8,0,8
32,No,Travel_Rarely,Sales,7,420,Male,Sales Executive,3,Married,5484,No,13,2,13,8,4,8
38,No,Travel_Rarely,Research & Development,25,421,Female,Research Director,2,Married,12061,No,19,3,10,8,0,1
58,No,Non-Travel,Research & Development,1,422,Male,Healthcare Representative,3,Divorced,5660,Yes,12,3,5,3,1,2
31,No,Travel_Rarely,Research & Development,5,423,Male,Research Scientist,4,Married,4821,Yes,6,3,5,2,0,3
31,No,Travel_Rarely,Human Resources,2,424,Male,Human Resources,1,Married,6410,No,9,3,2,2,1,0
45,No,Travel_Frequently,Research & Development,7,425,Male,Laboratory Technician,1,Divorced,5210,No,24,3,24,9,9,11
31,No,Travel_Rarely,Research & Development,2,426,Male,Research Scientist,4,Divorced,2695,Yes,3,1,2,2,2,2
33,No,Travel_Frequently,Research & Development,5,428,Female,Manager,2,Married,11878,No,12,3,10,6,8,8
39,No,Travel_Rarely,Research & Development,10,429,Male,Manager,1,Married,17068,Yes,21,3,21,9,11,10
43,No,Travel_Frequently,Research & Development,10,430,Female,Laboratory Technician,4,Single,2455,No,9,3,8,7,1,7
49,No,Travel_Rarely,Research & Development,1,431,Female,Healthcare Representative,3,Single,13964,Yes,25,3,7,1,0,7
52,Yes,Travel_Rarely,Research & Development,8,433,Male,Research Scientist,2,Married,4941,No,11,2,8,2,7,7
27,No,Travel_Rarely,Research & Development,5,434,Female,Research Scientist,2,Single,2478,Yes,4,2,4,3,1,2
32,No,Travel_Rarely,Sales,8,436,Female,Sales Executive,2,Married,5228,Yes,13,3,13,12,11,9
27,No,Travel_Rarely,Sales,2,437,Male,Sales Executive,3,Single,4478,Yes,5,3,5,4,0,4
31,No,Travel_Rarely,Sales,7,438,Male,Sales Executive,4,Divorced,7547,No,13,3,7,7,1,7
32,No,Travel_Rarely,Research & Development,2,439,Female,Research Scientist,4,Single,5055,No,10,2,7,7,0,7
28,Yes,Travel_Rarely,Research & Development,2,440,Male,Research Scientist,4,Married,3464,Yes,5,2,3,2,2,2
30,No,Travel_Rarely,Research & Development,28,441,Female,Research Scientist,4,Married,5775,No,11,3,10,8,1,9
31,No,Travel_Frequently,Research & Development,7,442,Female,Manufacturing Director,3,Married,8943,No,10,3,10,9,8,9
39,No,Travel_Frequently,Research & Development,7,444,Male,Manager,4,Married,19272,No,21,3,21,9,13,3
39,Yes,Travel_Rarely,Sales,3,445,Female,Sales Executive,3,Married,5238,Yes,12,2,1,0,0,0
33,No,Travel_Frequently,Sales,10,446,Male,Sales Executive,4,Single,4682,No,9,2,7,7,0,1
47,No,Travel_Rarely,Research & Development,5,447,Male,Research Director,3,Married,18300,No,21,3,3,2,1,1
43,No,Travel_Frequently,Research & Development,10,448,Female,Laboratory Technician,3,Divorced,5257,No,9,4,9,7,0,0
27,No,Non-Travel,Sales,1,449,Male,Sales Executive,2,Married,6349,Yes,6,3,5,4,1,4
54,No,Travel_Frequently,Research & Development,20,450,Female,Research Scientist,3,Single,4869,No,20,2,4,3,0,3
43,No,Travel_Rarely,Research & Development,7,451,Female,Healthcare Representative,1,Married,9985,No,10,2,1,0,0,0
45,No,Travel_Rarely,Research & Development,8,452,Male,Research Scientist,4,Married,3697,No,12,3,10,9,9,8
40,No,Travel_Rarely,Sales,1,453,Male,Sales Executive,4,Married,7457,Yes,6,2,4,3,0,2
29,Yes,Travel_Rarely,Research & Development,8,454,Male,Laboratory Technician,1,Married,2119,Yes,7,2,7,7,0,7
29,No,Travel_Rarely,Research & Development,9,455,Male,Laboratory Technician,4,Single,3983,No,4,3,3,2,2,2
30,No,Travel_Rarely,Sales,5,456,Female,Sales Executive,3,Divorced,6118,No,10,3,10,9,1,2
27,No,Travel_Rarely,Sales,8,458,Female,Sales Executive,2,Married,6214,No,8,3,8,7,0,7
37,No,Travel_Rarely,Research & Development,5,460,Male,Manufacturing Director,4,Divorced,6347,No,8,2,6,2,0,4
38,No,Travel_Rarely,Research & Development,15,461,Male,Research Director,4,Divorced,11510,Yes,12,3,11,10,2,9
31,No,Travel_Rarely,Research & Development,7,462,Female,Manufacturing Director,4,Single,7143,Yes,11,2,11,9,4,10
29,No,Travel_Rarely,Sales,10,463,Female,Sales Executive,2,Divorced,8268,Yes,7,3,7,7,1,7
35,No,Travel_Rarely,Research & Development,5,464,Male,Manufacturing Director,2,Single,8095,No,17,3,16,6,0,13
23,No,Travel_Rarely,Research & Development,26,465,Male,Research Scientist,4,Divorced,2904,No,4,2,4,2,0,2
41,No,Travel_Rarely,Research & Development,6,466,Male,Manufacturing Director,2,Single,6032,Yes,8,3,5,4,1,2
47,No,Travel_Frequently,Sales,4,467,Male,Sales Representative,3,Single,2976,No,5,3,0,0,0,0
42,No,Travel_Rarely,Research & Development,23,468,Female,Research Director,4,Single,15992,No,16,3,1,0,0,0
29,No,Non-Travel,Sales,2,469,Male,Sales Executive,3,Married,4649,No,4,2,4,3,0,2
42,No,Travel_Rarely,Human Resources,2,470,Male,Human Resources,3,Divorced,2696,Yes,4,3,3,2,1,0
32,No,Travel_Rarely,Research & Development,2,471,Female,Laboratory Technician,2,Married,2370,No,8,3,8,0,0,7
48,No,Travel_Rarely,Sales,29,473,Female,Manager,3,Married,12504,No,15,1,0,0,0,0
37,No,Travel_Rarely,Research & Development,6,474,Male,Research Scientist,1,Divorced,5974,Yes,13,3,7,7,6,7
30,No,Non-Travel,Sales,25,475,Female,Sales Executive,3,Married,4736,Yes,4,4,2,2,2,2
26,No,Travel_Rarely,Sales,1,476,Male,Sales Executive,3,Married,5296,No,8,3,8,7,7,7
42,No,Travel_Rarely,Research & Development,2,477,Male,Healthcare Representative,4,Single,6781,No,14,3,1,0,0,0
21,Yes,Travel_Frequently,Sales,1,478,Female,Sales Representative,2,Single,2174,Yes,3,3,3,2,1,2
36,No,Non-Travel,Sales,1,479,Female,Sales Executive,4,Single,6653,No,7,3,1,0,0,0
36,No,Travel_Frequently,Sales,3,481,Male,Sales Executive,4,Married,9699,No,16,3,13,9,1,12
57,No,Travel_Rarely,Research & Development,1,482,Male,Healthcare Representative,3,Married,6755,No,15,3,3,2,1,2
40,No,Travel_Rarely,Research & Development,10,483,Female,Laboratory Technician,3,Married,2213,Yes,10,3,7,7,1,7
21,No,Non-Travel,Sales,9,484,Male,Sales Representative,4,Single,2610,No,3,2,3,2,2,2
33,Yes,Travel_Rarely,Sales,5,485,Female,Sales Representative,3,Single,2851,Yes,1,3,1,0,0,0
37,No,Travel_Rarely,Research & Development,10,486,Female,Laboratory Technician,1,Married,3452,No,17,3,5,4,0,3
46,No,Non-Travel,Research & Development,7,487,Female,Manufacturing Director,3,Married,5258,No,7,4,1,0,0,0
41,Yes,Travel_Frequently,Sales,4,488,Male,Sales Executive,2,Single,9355,No,8,3,8,7,7,7
50,No,Travel_Rarely,Research & Development,10,491,Male,Healthcare Representative,4,Single,10496,No,20,3,4,3,1,3
40,Yes,Travel_Rarely,Sales,22,492,Male,Sales Executive,3,Married,6380,Yes,8,3,6,4,1,0
31,No,Travel_Rarely,Research & Development,9,493,Male,Research Scientist,2,Single,2657,Yes,3,3,2,2,2,2
21,Yes,Travel_Rarely,Sales,12,494,Female,Sales Representative,2,Single,2716,No,1,3,1,0,0,0
29,No,Travel_Rarely,Research & Development,23,495,Male,Research Scientist,4,Single,2201,No,6,3,3,2,1,2
35,No,Travel_Rarely,Research & Development,9,496,Male,Healthcare Representative,2,Single,6540,No,10,3,1,1,0,0
27,No,Travel_Rarely,Research & Development,1,497,Male,Laboratory Technician,2,Divorced,3816,No,5,3,5,2,0,4
28,No,Travel_Rarely,Sales,9,498,Male,Sales Executive,4,Single,5253,No,7,3,7,5,0,7
49,No,Travel_Rarely,Research & Development,7,499,Male,Healthcare Representative,3,Single,10965,No,26,3,5,2,0,0
51,No,Travel_Rarely,Sales,14,500,Female,Sales Executive,4,Married,4936,No,18,2,7,7,0,7
36,No,Travel_Rarely,Research & Development,2,501,Female,Research Scientist,3,Married,2543,No,6,3,2,2,2,2
34,Yes,Non-Travel,Sales,19,502,Male,Sales Executive,4,Single,5304,Yes,9,2,5,2,0,4
55,No,Travel_Rarely,Research & Development,2,505,Female,Manager,4,Single,16659,Yes,30,3,5,4,1,2
24,No,Travel_Rarely,Sales,10,507,Female,Sales Executive,3,Divorced,4260,Yes,5,4,5,2,0,3
30,No,Travel_Rarely,Sales,2,508,Male,Sales Representative,2,Married,2476,No,1,3,1,0,0,0
26,Yes,Travel_Frequently,Research & Development,3,510,Male,Research Scientist,1,Single,3102,No,7,3,6,4,0,4
22,No,Travel_Rarely,Research & Development,11,511,Female,Research Scientist,2,Married,2244,No,2,3,2,1,1,2
36,No,Travel_Rarely,Sales,2,513,Male,Sales Executive,3,Married,7596,No,10,3,10,9,9,0
30,Yes,Travel_Frequently,Research & Development,4,514,Male,Research Scientist,4,Single,2285,Yes,3,3,1,0,0,0
37,No,Travel_Rarely,Research & Development,14,515,Female,Laboratory Technician,1,Divorced,3034,No,18,2,18,7,12,17
40,No,Travel_Rarely,Sales,2,516,Female,Sales Executive,2,Divorced,5715,No,8,3,5,4,1,3
42,No,Travel_Rarely,Research & Development,1,517,Female,Laboratory Technician,1,Divorced,2576,No,8,3,5,2,1,2
37,No,Travel_Rarely,Research & Development,10,518,Male,Manufacturing Director,2,Single,4197,Yes,18,2,1,0,0,1
43,No,Travel_Rarely,Research & Development,12,520,Male,Research Director,2,Divorced,14336,No,25,3,25,10,3,9
40,No,Travel_Rarely,Research & Development,2,521,Female,Laboratory Technician,3,Married,3448,No,20,3,1,0,0,0
54,No,Travel_Rarely,Research & Development,5,522,Male,Research Director,1,Married,19406,No,24,2,4,2,1,2
34,No,Non-Travel,Sales,4,523,Female,Sales Executive,3,Married,6538,No,6,3,3,2,1,2
31,No,Travel_Rarely,Research & Development,7,524,Female,Manufacturing Director,1,Married,4306,No,13,1,13,10,3,12
43,No,Travel_Frequently,Research & Development,21,525,Male,Laboratory Technician,4,Married,2258,No,8,3,3,2,1,2
43,No,Travel_Rarely,Research & Development,8,526,Female,Healthcare Representative,3,Divorced,4522,Yes,8,3,5,2,0,2
25,No,Travel_Rarely,Sales,4,527,Female,Sales Executive,4,Single,4487,Yes,5,3,5,4,1,3
37,No,Non-Travel,Research & Development,25,529,Female,Research Scientist,3,Married,4449,Yes,15,3,13,11,10,7
31,No,Travel_Rarely,Research & Development,1,530,Male,Laboratory Technician,1,Married,2218,No,4,3,4,2,3,2
39,No,Travel_Frequently,Research & Development,1,531,Male,Manager,3,Divorced,19197,Yes,21,3,21,8,1,6
56,No,Travel_Frequently,Sales,6,532,Female,Sales Executive,1,Married,13212,No,36,2,7,7,7,7
30,No,Travel_Rarely,Sales,12,533,Female,Sales Executive,3,Single,6577,No,6,3,5,4,4,4
41,No,Travel_Rarely,Sales,1,534,Male,Sales Executive,1,Married,8392,No,10,3,10,7,0,7
28,No,Travel_Rarely,Research & Development,17,536,Male,Laboratory Technician,1,Divorced,4558,No,10,3,10,0,1,8
25,Yes,Travel_Rarely,Research & Development,3,538,Male,Laboratory Technician,1,Married,4031,No,6,3,2,2,0,2
52,No,Travel_Rarely,Research & Development,3,543,Male,Manufacturing Director,3,Married,7969,Yes,28,3,5,4,0,4
45,No,Travel_Rarely,Research & Development,10,544,Male,Research Scientist,4,Married,2654,No,8,2,2,2,0,2
52,No,Travel_Rarely,Research & Development,4,546,Female,Manager,4,Married,16555,No,31,1,5,2,1,4
42,No,Travel_Frequently,Research & Development,29,547,Female,Research Scientist,3,Divorced,4556,No,19,3,5,4,0,2
30,No,Travel_Rarely,Research & Development,2,548,Female,Manufacturing Director,4,Single,6091,No,11,3,5,4,0,2
60,No,Travel_Rarely,Research & Development,7,549,Female,Manager,1,Married,19566,No,33,1,29,8,11,10
46,No,Travel_Rarely,Research & Development,18,550,Female,Manufacturing Director,3,Divorced,4810,No,19,2,10,7,0,8
42,No,Travel_Frequently,Research & Development,28,551,Female,Healthcare Representative,4,Married,4523,No,7,4,6,5,0,4
24,Yes,Travel_Rarely,Sales,1,554,Female,Sales Representative,2,Single,3202,Yes,6,3,5,3,1,4
34,Yes,Travel_Frequently,Sales,6,555,Female,Sales Representative,3,Divorced,2351,No,3,2,2,2,1,0
38,No,Travel_Frequently,Research & Development,2,556,Male,Laboratory Technician,4,Married,1702,Yes,1,3,1,0,0,0
40,No,Travel_Rarely,Sales,2,558,Female,Manager,3,Married,18041,No,21,3,20,15,1,12
26,No,Travel_Rarely,Research & Development,23,560,Female,Research Scientist,4,Divorced,2886,No,3,1,3,2,0,2
30,No,Non-Travel,Research & Development,3,562,Male,Laboratory Technician,4,Married,2097,No,9,1,5,3,1,4
29,No,Travel_Rarely,Research & Development,3,564,Male,Research Director,3,Married,11935,No,10,3,10,2,0,7
29,Yes,Travel_Rarely,Research & Development,25,565,Female,Research Scientist,2,Married,2546,No,6,4,2,2,1,1
19,Yes,Travel_Rarely,Human Resources,2,566,Male,Human Resources,4,Single,2564,No,1,4,1,0,0,0
30,No,Non-Travel,Sales,22,567,Female,Sales Executive,1,Married,8412,No,10,3,9,8,7,8
57,No,Travel_Rarely,Sales,29,568,Male,Manager,4,Divorced,14118,No,32,2,1,0,0,0
50,No,Travel_Rarely,Research & Development,29,569,Male,Manager,3,Married,17046,No,28,3,27,10,15,7
30,No,Non-Travel,Research & Development,2,571,Female,Laboratory Technician,4,Single,2564,No,12,2,11,7,6,7
60,No,Travel_Frequently,Sales,28,573,Female,Sales Executive,1,Married,10266,No,22,4,18,13,13,11
47,No,Travel_Rarely,Research & Development,2,574,Female,Manufacturing Director,4,Divorced,5070,No,20,3,5,0,0,4
46,No,Travel_Rarely,Research & Development,2,575,Male,Research Director,3,Married,17861,No,26,1,3,2,0,1
35,No,Travel_Rarely,Research & Development,22,577,Male,Laboratory Technician,3,Single,4230,No,6,3,5,4,4,3
54,No,Travel_Rarely,Research & Development,8,578,Female,Laboratory Technician,3,Single,3780,No,19,3,1,0,0,0
34,No,Travel_Rarely,Research & Development,2,579,Male,Research Scientist,3,Divorced,2768,No,14,3,7,3,5,7
46,No,Travel_Rarely,Sales,10,580,Female,Sales Executive,4,Married,9071,Yes,15,3,3,2,1,2
31,No,Travel_Rarely,Research & Development,9,581,Male,Manufacturing Director,2,Divorced,10648,No,13,4,13,8,0,8
33,Yes,Travel_Rarely,Research & Development,15,582,Male,Manager,3,Married,13610,Yes,15,4,7,6,7,7
33,Yes,Travel_Rarely,Research & Development,10,584,Male,Laboratory Technician,4,Divorced,3408,No,8,3,4,3,1,3
30,No,Travel_Rarely,Sales,7,585,Male,Sales Representative,2,Single,2983,No,4,3,3,2,1,2
35,No,Travel_Rarely,Research & Development,16,586,Male,Healthcare Representative,3,Married,7632,Yes,10,3,8,7,0,0
31,Yes,Travel_Frequently,Research & Development,20,587,Male,Healthcare Representative,3,Married,9824,No,12,3,1,0,0,0
34,Yes,Travel_Frequently,Human Resources,23,590,Female,Human Resources,1,Divorced,9950,Yes,11,3,3,2,0,2
42,No,Travel_Frequently,Research & Development,5,591,Male,Laboratory Technician,3,Married,2093,No,8,3,2,2,2,0
36,No,Non-Travel,Sales,10,592,Male,Sales Executive,4,Single,9980,No,10,2,10,3,9,7
22,Yes,Travel_Frequently,Research & Development,4,593,Male,Laboratory Technician,3,Single,3894,No,4,3,2,2,1,2
48,No,Travel_Rarely,Sales,2,595,Female,Sales Executive,4,Married,4051,No,14,3,9,7,6,7
55,No,Travel_Rarely,Sales,18,597,Female,Manager,2,Single,16835,No,37,3,10,9,7,7
41,No,Non-Travel,Sales,10,599,Male,Sales Executive,4,Single,6230,No,16,3,14,3,1,10
35,No,Travel_Rarely,Sales,1,600,Male,Sales Executive,3,Married,4717,No,15,3,11,9,6,9
40,No,Travel_Rarely,Research & Development,6,601,Female,Manufacturing Director,3,Single,13237,No,22,3,20,6,5,13
39,No,Travel_Frequently,Research & Development,8,602,Female,Laboratory Technician,3,Married,3755,No,8,3,8,3,0,7
31,No,Travel_Rarely,Sales,2,604,Male,Sales Executive,4,Single,6582,Yes,10,4,6,5,0,5
42,No,Travel_Rarely,Research & Development,24,605,Male,Manufacturing Director,1,Married,7406,Yes,10,2,10,9,5,8
45,No,Travel_Rarely,Sales,2,606,Male,Sales Executive,2,Married,4805,No,9,4,8,7,3,7
26,Yes,Travel_Frequently,Human Resources,17,608,Female,Human Resources,3,Divorced,2741,Yes,8,2,7,7,1,0
29,No,Travel_Rarely,Research & Development,19,611,Male,Manufacturing Director,4,Divorced,4262,No,8,4,3,2,1,2
33,No,Travel_Rarely,Research & Development,1,612,Female,Research Director,3,Divorced,16184,No,10,3,6,1,0,5
31,No,Travel_Rarely,Sales,7,613,Male,Manager,4,Divorced,11557,No,10,2,5,4,0,1
18,Yes,Travel_Frequently,Sales,5,614,Male,Sales Representative,2,Single,1878,Yes,0,3,0,0,0,0
40,No,Non-Travel,Sales,28,615,Male,Sales Executive,1,Divorced,10932,No,20,3,1,0,0,1
41,No,Non-Travel,Research & Development,2,616,Female,Healthcare Representative,3,Single,6811,Yes,10,3,8,7,0,7
26,No,Travel_Rarely,Sales,29,618,Male,Sales Executive,3,Divorced,4306,No,8,3,0,0,0,0
35,No,Travel_Rarely,Sales,1,620,Female,Sales Executive,3,Single,4859,No,5,3,5,4,0,3
34,No,Travel_Rarely,Sales,21,621,Male,Sales Executive,4,Single,5337,No,10,3,10,7,5,7
26,Yes,Travel_Rarely,Research & Development,24,622,Male,Laboratory Technician,4,Single,2340,Yes,1,1,1,0,0,0
37,No,Travel_Rarely,Research & Development,1,623,Female,Manufacturing Director,4,Single,7491,No,12,4,6,5,1,2
46,No,Travel_Frequently,Research & Development,18,624,Female,Healthcare Representative,3,Married,10527,No,28,2,2,2,1,2
41,No,Travel_Rarely,Sales,2,625,Female,Manager,1,Married,16595,No,22,3,18,16,11,8
37,No,Non-Travel,Sales,9,626,Male,Sales Executive,2,Divorced,8834,No,9,3,9,5,7,7
52,No,Travel_Rarely,Research & Development,6,630,Male,Research Scientist,1,Divorced,5577,Yes,18,3,10,9,6,9
32,Yes,Non-Travel,Sales,11,631,Male,Sales Executive,3,Married,4707,No,6,3,4,2,1,2
24,No,Travel_Frequently,Sales,24,632,Male,Sales Representative,4,Married,2400,No,3,3,2,2,2,1
38,No,Travel_Rarely,Research & Development,10,634,Female,Healthcare Representative,3,Married,9824,No,18,3,1,0,0,0
37,No,Travel_Rarely,Research & Development,1,635,Female,Manufacturing Director,2,Married,6447,No,8,2,6,5,4,3
49,No,Travel_Rarely,Research & Development,18,638,Male,Research Director,3,Divorced,19502,Yes,31,3,31,9,0,9
24,No,Travel_Rarely,Research & Development,23,639,Male,Research Scientist,4,Married,2725,Yes,6,3,6,5,1,4
26,No,Travel_Rarely,Sales,28,641,Male,Sales Executive,2,Married,6272,No,6,4,5,3,1,4
24,No,Travel_Rarely,Research & Development,17,643,Male,Laboratory Technician,2,Married,2127,No,1,3,1,0,0,0
50,No,Travel_Frequently,Human Resources,3,644,Male,Manager,2,Married,18200,No,32,3,32,5,10,7
25,No,Travel_Rarely,Sales,13,645,Male,Sales Representative,3,Married,2096,No,7,3,7,4,0,6
24,Yes,Travel_Frequently,Research & Development,7,647,Female,Laboratory Technician,3,Married,2886,Yes,6,3,6,3,1,2
30,Yes,Travel_Frequently,Sales,12,648,Male,Sales Representative,1,Married,2033,No,1,4,1,0,0,0
34,No,Travel_Rarely,Research & Development,1,649,Male,Research Scientist,4,Married,3622,Yes,6,3,6,5,1,3
31,Yes,Travel_Rarely,Sales,13,650,Male,Sales Executive,1,Divorced,4233,No,9,1,3,1,1,2
35,No,Travel_Rarely,Research & Development,25,652,Male,Laboratory Technician,4,Single,3681,No,9,3,3,2,0,2
31,No,Travel_Rarely,Sales,6,653,Male,Sales Executive,4,Divorced,5460,No,13,4,7,7,5,7
27,No,Travel_Rarely,Research & Development,6,655,Female,Research Scientist,3,Divorced,2187,No,6,2,5,3,0,3
37,No,Travel_Rarely,Sales,2,656,Male,Sales Executive,3,Married,9602,Yes,17,2,3,0,1,0
20,No,Travel_Rarely,Research & Development,1,657,Female,Research Scientist,2,Single,2836,No,1,4,1,0,0,0
42,No,Travel_Rarely,Research & Development,2,659,Female,Healthcare Representative,4,Married,4089,No,10,3,10,2,2,2
43,No,Travel_Rarely,Research & Development,6,661,Male,Research Director,4,Divorced,16627,Yes,21,2,1,0,0,0
38,No,Travel_Rarely,Research & Development,1,662,Female,Research Scientist,1,Single,2619,No,8,2,0,0,0,0
43,No,Travel_Frequently,Research & Development,9,663,Male,Laboratory Technician,3,Divorced,5679,Yes,10,3,8,7,4,7
